Cond,Finger,PId,Phone,TouchedArea
walking,Thumb,3,s3,186
walking,Thumb,3,s4,35
seated,Index,3,s3,22
seated,Ring,3,opo,14
seated,Middle,3,n6,23
walking,Index,3,n6,10
walking,Ring,3,s3,5
walking,Little,3,s4,10
walking,Index,3,opo,2
seated,Ring,3,s3,9
walking,Thumb,3,n6,100
walking,Ring,3,s4,16
walking,Little,3,n6,13
walking,Index,3,s4,8
walking,Ring,3,opo,22
seated,Little,3,s3,9
seated,Thumb,3,n6,307
seated,Ring,3,s4,6
walking,Ring,3,n6,9
walking,Thumb,3,opo,68
seated,Middle,3,opo,13
seated,Little,3,s4,15
seated,Ring,3,n6,8
walking,Middle,3,s3,9
walking,Middle,3,s4,23
seated,Thumb,3,s3,716
seated,Index,3,n6,61
walking,Middle,3,opo,13
seated,Little,3,n6,11
walking,Little,3,s3,23
seated,Thumb,3,s4,144
walking,Little,3,opo,3
seated,Thumb,3,opo,142
walking,Index,3,s3,18
walking,Middle,3,n6,14
seated,Middle,3,s3,9
seated,Index,3,s4,5
seated,Little,3,opo,35
seated,Middle,3,s4,6
seated,Index,3,opo,46
seated,Thumb,4,n6,535
seated,Ring,4,s4,0
seated,Ring,4,n6,13
seated,Thumb,4,opo,455
seated,Thumb,4,s4,494
walking,Little,4,s3,9
seated,Ring,4,opo,0
walking,Index,4,opo,1
walking,Ring,4,n6,12
walking,Middle,4,s3,21
walking,Middle,4,s4,0
seated,Index,4,n6,52
walking,Middle,4,opo,0
seated,Index,4,opo,29
walking,Middle,4,n6,24
seated,Index,4,s4,4
seated,Middle,4,s3,1
seated,Middle,4,s4,1
seated,Index,4,s3,5
seated,Middle,4,opo,6
seated,Middle,4,n6,35
walking,Index,4,n6,42
walking,Ring,4,s3,22
walking,Index,4,s4,0
walking,Ring,4,s4,0
walking,Ring,4,opo,0
seated,Ring,4,s3,1
walking,Little,4,s4,0
walking,Index,4,s3,4
seated,Little,4,n6,12
walking,Thumb,4,s3,909
seated,Little,4,opo,3
seated,Thumb,4,s3,583
walking,Thumb,4,s4,169
walking,Little,4,opo,1
seated,Little,4,s4,2
seated,Little,4,s3,0
walking,Thumb,4,opo,259
walking,Little,4,n6,12
walking,Thumb,4,n6,385
seated,Ring,5,opo,2
walking,Index,5,s4,10
walking,Index,5,s3,86
seated,Index,5,s4,2
seated,Little,5,s3,43
seated,Middle,5,opo,3
walking,Thumb,5,n6,425
seated,Index,5,s3,46
seated,Middle,5,s4,0
seated,Thumb,5,s3,894
seated,Little,5,s4,8
seated,Thumb,5,n6,242
seated,Middle,5,n6,16
walking,Little,5,n6,16
seated,Ring,5,s4,6
walking,Index,5,n6,3
walking,Ring,5,s3,23
walking,Middle,5,s3,46
walking,Index,5,opo,1
seated,Middle,5,s3,17
walking,Ring,5,s4,0
walking,Middle,5,s4,0
walking,Little,5,s4,3
walking,Ring,5,opo,14
walking,Thumb,5,s3,698
seated,Index,5,n6,15
walking,Middle,5,opo,20
seated,Thumb,5,s4,336
walking,Little,5,s3,82
seated,Thumb,5,opo,474
seated,Little,5,n6,25
seated,Ring,5,s3,16
walking,Ring,5,n6,1
seated,Index,5,opo,8
seated,Ring,5,n6,6
walking,Middle,5,n6,2
walking,Thumb,5,opo,278
walking,Thumb,5,s4,175
seated,Little,5,opo,8
walking,Little,5,opo,4
walking,Index,6,opo,3
walking,Ring,6,s4,12
walking,Index,6,s4,0
walking,Ring,6,opo,2
walking,Ring,6,s3,5
walking,Thumb,6,opo,259
seated,Thumb,6,s3,347
seated,Middle,6,n6,10
walking,Middle,6,s4,12
seated,Little,6,n6,52
seated,Index,6,n6,3
walking,Thumb,6,s3,295
walking,Middle,6,opo,4
seated,Index,6,opo,15
walking,Middle,6,n6,50
seated,Little,6,opo,11
seated,Index,6,s4,1
seated,Middle,6,s3,0
seated,Middle,6,s4,33
seated,Middle,6,opo,13
seated,Index,6,s3,0
seated,Little,6,s4,4
walking,Index,6,n6,4
seated,Little,6,s3,0
walking,Thumb,6,s4,248
walking,Middle,6,s3,13
walking,Little,6,n6,125
walking,Thumb,6,n6,556
walking,Little,6,opo,12
walking,Index,6,s3,1
seated,Ring,6,n6,14
seated,Thumb,6,opo,185
seated,Thumb,6,s4,187
walking,Ring,6,n6,20
seated,Thumb,6,n6,192
seated,Ring,6,opo,5
walking,Little,6,s4,20
seated,Ring,6,s4,3
walking,Little,6,s3,4
seated,Ring,6,s3,4
seated,Middle,7,s4,8
walking,Ring,7,opo,1
seated,Thumb,7,s4,216
seated,Little,7,s4,0
seated,Index,7,s3,3
walking,Little,7,opo,17
seated,Thumb,7,opo,198
seated,Middle,7,s3,0
seated,Ring,7,s4,0
seated,Ring,7,opo,0
walking,Index,7,s3,29
seated,Little,7,n6,31
walking,Little,7,s4,1
walking,Middle,7,s3,9
seated,Index,7,n6,33
walking,Little,7,s3,59
walking,Middle,7,s4,7
seated,Thumb,7,s3,895
walking,Thumb,7,s3,1197
seated,Index,7,opo,0
seated,Ring,7,n6,8
seated,Little,7,opo,0
walking,Thumb,7,n6,68
seated,Index,7,s4,7
walking,Index,7,n6,1
walking,Middle,7,n6,12
walking,Middle,7,opo,0
seated,Middle,7,opo,0
walking,Ring,7,s3,4
walking,Index,7,opo,2
walking,Thumb,7,s4,247
seated,Little,7,s3,4
seated,Middle,7,n6,28
walking,Ring,7,n6,7
walking,Little,7,n6,22
walking,Ring,7,s4,2
seated,Ring,7,s3,6
walking,Index,7,s4,2
walking,Thumb,7,opo,274
seated,Thumb,7,n6,131
walking,Ring,8,s4,24
walking,Middle,8,n6,358
seated,Little,8,opo,1
seated,Little,8,n6,26
seated,Ring,8,s3,12
seated,Index,8,opo,7
seated,Middle,8,n6,12
seated,Index,8,n6,4
walking,Index,8,s3,18
walking,Index,8,s4,21
walking,Little,8,s3,26
seated,Thumb,8,s3,738
seated,Little,8,s3,18
walking,Middle,8,s4,24
walking,Thumb,8,opo,200
walking,Little,8,s4,9
walking,Ring,8,n6,156
walking,Ring,8,opo,0
walking,Middle,8,s3,19
walking,Thumb,8,s3,495
walking,Middle,8,opo,0
walking,Little,8,opo,0
seated,Thumb,8,s4,152
walking,Index,8,opo,8
walking,Thumb,8,s4,216
seated,Thumb,8,n6,467
seated,Index,8,s3,45
seated,Little,8,s4,0
seated,Middle,8,opo,13
seated,Ring,8,s4,0
walking,Thumb,8,n6,437
walking,Little,8,n6,205
seated,Ring,8,opo,0
walking,Index,8,n6,322
walking,Ring,8,s3,31
seated,Thumb,8,opo,258
seated,Middle,8,s4,2
seated,Index,8,s4,1
seated,Middle,8,s3,13
seated,Ring,8,n6,6
walking,Middle,10,s3,119
seated,Little,10,s4,33
seated,Middle,10,opo,17
walking,Ring,10,opo,4
seated,Ring,10,s3,16
walking,Middle,10,s4,89
walking,Ring,10,s4,9
walking,Little,10,s4,16
walking,Little,10,n6,86
seated,Little,10,opo,0
walking,Little,10,s3,34
seated,Ring,10,opo,0
walking,Little,10,opo,14
seated,Ring,10,s4,7
walking,Ring,10,s3,51
seated,Middle,10,n6,47
seated,Little,10,s3,32
seated,Ring,10,n6,16
seated,Middle,10,s4,20
walking,Middle,10,opo,41
seated,Middle,10,s3,51
walking,Ring,10,n6,30
walking,Middle,10,n6,43
seated,Little,10,n6,16
walking,Index,10,s4,23
walking,Index,10,n6,14
walking,Index,10,s3,106
seated,Thumb,10,n6,243
seated,Index,10,s3,19
seated,Thumb,10,opo,116
seated,Thumb,10,s4,306
seated,Index,10,s4,0
seated,Thumb,10,s3,322
walking,Thumb,10,n6,208
walking,Thumb,10,opo,196
seated,Index,10,opo,3
walking,Thumb,10,s4,412
walking,Index,10,opo,12
walking,Thumb,10,s3,368
seated,Index,10,n6,3
walking,Middle,11,s4,44
seated,Thumb,11,s3,414
walking,Little,11,s3,23
seated,Thumb,11,s4,438
seated,Little,11,opo,1
seated,Middle,11,s3,16
seated,Ring,11,n6,136
seated,Thumb,11,opo,234
seated,Ring,11,opo,13
seated,Little,11,n6,83
seated,Middle,11,s4,41
seated,Ring,11,s4,1
seated,Index,11,s3,22
walking,Middle,11,s3,34
seated,Thumb,11,n6,311
seated,Ring,11,s3,43
seated,Middle,11,opo,31
walking,Ring,11,n6,5
walking,Index,11,s3,23
walking,Ring,11,opo,22
walking,Index,11,n6,49
walking,Index,11,s4,7
walking,Ring,11,s4,38
seated,Middle,11,n6,96
walking,Index,11,opo,81
walking,Ring,11,s3,38
walking,Little,11,s4,27
walking,Middle,11,n6,55
seated,Index,11,s4,14
walking,Thumb,11,opo,257
walking,Little,11,opo,1
walking,Thumb,11,s3,273
walking,Little,11,n6,4
seated,Little,11,s3,37
seated,Little,11,s4,1
seated,Index,11,n6,15
seated,Index,11,opo,30
walking,Thumb,11,n6,24
walking,Middle,11,opo,29
walking,Thumb,11,s4,261
seated,Middle,12,s4,10
walking,Index,12,opo,1
walking,Ring,12,s3,14
seated,Little,12,s3,1
seated,Ring,12,s3,0
seated,Thumb,12,n6,473
seated,Index,12,s3,9
walking,Index,12,s3,63
seated,Middle,12,n6,43
seated,Index,12,n6,80
walking,Index,12,s4,1
seated,Little,12,n6,35
seated,Middle,12,opo,4
walking,Thumb,12,s4,265
walking,Thumb,12,opo,270
walking,Index,12,n6,54
walking,Ring,12,opo,1
walking,Middle,12,s3,9
walking,Middle,12,s4,16
seated,Little,12,s4,7
walking,Ring,12,s4,7
walking,Ring,12,n6,62
seated,Thumb,12,s4,435
seated,Ring,12,s4,8
walking,Little,12,s4,3
walking,Thumb,12,n6,386
seated,Thumb,12,s3,203
walking,Middle,12,n6,125
walking,Little,12,opo,5
walking,Little,12,s3,32
seated,Index,12,s4,7
seated,Index,12,opo,2
seated,Middle,12,s3,1
seated,Ring,12,n6,23
walking,Middle,12,opo,1
walking,Thumb,12,s3,313
walking,Little,12,n6,189
seated,Ring,12,opo,10
seated,Thumb,12,opo,513
seated,Little,12,opo,12
walking,Index,13,s3,38
walking,Ring,13,s3,16
seated,Thumb,13,s3,379
seated,Thumb,13,opo,216
walking,Thumb,13,s4,164
seated,Ring,13,s4,7
walking,Ring,13,s4,0
walking,Thumb,13,n6,370
walking,Little,13,s4,15
seated,Little,13,s3,0
walking,Little,13,opo,27
walking,Little,13,n6,399
walking,Little,13,s3,6
walking,Index,13,s4,3
seated,Thumb,13,s4,237
walking,Index,13,opo,37
walking,Ring,13,opo,30
walking,Thumb,13,opo,266
seated,Ring,13,opo,3
seated,Little,13,n6,33
seated,Little,13,s4,1
walking,Ring,13,n6,293
walking,Thumb,13,s3,257
seated,Ring,13,n6,37
seated,Thumb,13,n6,340
seated,Little,13,opo,17
seated,Ring,13,s3,1
walking,Middle,13,n6,304
seated,Index,13,n6,3
seated,Index,13,s4,0
seated,Middle,13,opo,50
walking,Middle,13,s4,52
walking,Middle,13,opo,19
seated,Middle,13,s3,5
seated,Index,13,opo,21
seated,Index,13,s3,2
walking,Index,13,n6,255
seated,Middle,13,n6,78
seated,Middle,13,s4,0
walking,Middle,13,s3,32
walking,Thumb,14,s4,219
seated,Index,14,n6,5
walking,Index,14,n6,9
seated,Thumb,14,opo,399
seated,Thumb,14,n6,181
seated,Middle,14,s4,0
walking,Index,14,s3,8
walking,Thumb,14,opo,374
walking,Middle,14,s4,36
walking,Middle,14,opo,13
seated,Index,14,s3,0
seated,Little,14,s4,4
seated,Little,14,s3,0
seated,Ring,14,s4,0
seated,Middle,14,opo,25
walking,Little,14,n6,40
walking,Ring,14,n6,23
seated,Ring,14,opo,14
walking,Thumb,14,s3,263
seated,Ring,14,s3,0
seated,Little,14,opo,8
seated,Thumb,14,s3,307
walking,Index,14,opo,12
seated,Index,14,s4,0
walking,Ring,14,opo,19
walking,Little,14,opo,38
seated,Index,14,opo,19
seated,Middle,14,n6,13
walking,Thumb,14,n6,240
walking,Little,14,s3,0
walking,Little,14,s4,17
walking,Ring,14,s4,30
seated,Ring,14,n6,10
walking,Index,14,s4,40
walking,Middle,14,s3,2
walking,Middle,14,n6,10
seated,Little,14,n6,53
seated,Middle,14,s3,0
seated,Thumb,14,s4,132
walking,Ring,14,s3,1
seated,Index,16,s4,2
seated,Thumb,16,opo,379
seated,Thumb,16,n6,264
seated,Little,16,s3,0
seated,Ring,16,s4,0
seated,Thumb,16,s3,211
seated,Index,16,n6,8
walking,Little,16,opo,7
walking,Little,16,s3,1
walking,Index,16,opo,31
walking,Thumb,16,opo,255
walking,Thumb,16,n6,196
walking,Middle,16,n6,14
seated,Middle,16,s3,0
walking,Little,16,n6,13
seated,Ring,16,opo,4
walking,Middle,16,opo,43
seated,Thumb,16,s4,364
seated,Middle,16,s4,0
seated,Ring,16,n6,0
seated,Index,16,opo,5
walking,Little,16,s4,0
walking,Index,16,n6,4
walking,Thumb,16,s4,102
walking,Index,16,s3,26
walking,Middle,16,s4,0
seated,Middle,16,n6,0
seated,Little,16,opo,0
walking,Ring,16,s4,0
walking,Thumb,16,s3,263
seated,Little,16,n6,0
walking,Ring,16,n6,14
walking,Ring,16,opo,16
walking,Index,16,s4,0
walking,Ring,16,s3,11
seated,Index,16,s3,0
seated,Middle,16,opo,1
seated,Ring,16,s3,1
walking,Middle,16,s3,30
seated,Little,16,s4,0
walking,Index,17,s4,6
seated,Middle,17,s3,9
walking,Index,17,n6,4
walking,Ring,17,opo,0
seated,Ring,17,n6,4
walking,Ring,17,s4,0
seated,Index,17,s3,6
