task,question1,question2,question3,question4,question5,tlx1,tlx2,tlx3,tlx4,tlx5,tlx6,Cond,Phone
writing,6,2,3,2,2,8,5,14,16,14,12,walking,S3
reading,5,3,3,3,4,15,3,4,12,3,4,walking,S3
fitts,2,6,7,5,6,0,3,0,3,2,0,walking,S3
fitts,3,5,5,5,5,4,12,4,5,5,4,walking,S3
reading,4,3,3,4,4,15,1,14,14,14,11,walking,S3
writing,7,1,1,1,1,6,16,19,19,17,20,walking,S3
reading,6,2,3,5,5,13,0,15,4,14,0,walking,S3
writing,2,6,6,6,5,3,0,3,2,4,0,walking,S3
fitts,1,7,6,6,6,5,0,0,1,1,0,walking,S3
writing,5,2,3,2,6,4,15,4,15,14,13,walking,S3
fitts,3,6,6,6,4,6,9,5,6,5,7,walking,S3
reading,1,6,7,6,7,3,3,2,4,3,2,walking,S3
fitts,1,7,7,6,7,0,0,0,3,5,0,walking,S3
reading,1,6,7,6,7,20,5,17,0,16,0,walking,S3
writing,2,6,6,5,7,4,1,4,4,15,0,walking,S3
fitts,3,3,5,5,4,2,3,0,7,0,0,walking,S3
writing,7,3,2,2,1,2,3,0,16,2,8,walking,S3
reading,2,3,7,7,4,4,3,3,3,1,0,walking,S3
fitts,1,7,7,7,7,2,0,9,2,4,0,walking,S3
writing,7,2,2,3,2,15,16,4,9,16,16,walking,S3
reading,2,5,5,5,7,5,4,17,5,3,2,walking,S3
reading,7,2,1,2,1,15,16,9,20,15,20,walking,S3
writing,7,1,1,1,1,20,19,19,20,20,18,walking,S3
fitts,6,2,3,4,4,8,8,8,15,8,7,walking,S3
writing,7,2,2,2,2,6,13,5,16,13,14,walking,S3
fitts,2,6,6,3,3,6,4,5,6,6,6,walking,S3
reading,5,3,2,5,3,12,4,6,14,14,14,walking,S3
reading,6,6,2,4,2,13,2,8,16,16,1,walking,S3
writing,2,6,7,5,7,1,5,3,3,5,2,walking,S3
fitts,3,2,7,2,6,2,3,3,4,11,1,walking,S3
writing,6,3,3,2,3,14,16,15,6,12,14,walking,S3
reading,6,1,3,3,4,14,15,15,14,6,13,walking,S3
fitts,2,6,6,6,5,5,8,5,15,6,2,walking,S3
reading,5,6,6,5,3,2,2,0,6,5,4,walking,S3
writing,3,3,5,5,5,4,0,0,12,7,12,walking,S3
fitts,4,5,6,6,4,0,4,0,5,2,3,walking,S3
reading,5,2,5,4,3,11,4,14,8,12,8,walking,S3
writing,5,4,4,4,3,1,15,6,5,12,9,walking,S3
fitts,4,4,5,4,3,4,12,4,4,6,5,walking,S3
reading,2,6,6,5,5,10,6,6,6,10,10,walking,S3
writing,6,2,3,2,3,15,13,13,10,10,16,walking,S3
fitts,4,4,6,5,5,4,4,11,7,6,6,walking,S3
fitts,2,5,7,7,5,1,0,3,7,1,0,walking,S3
writing,7,2,2,1,4,4,8,7,12,13,16,walking,S3
reading,3,6,6,6,5,4,5,5,0,0,0,walking,S3
fitts,2,6,7,6,5,5,4,6,0,1,0,walking,S3
reading,3,5,3,3,3,10,6,12,6,7,5,walking,S3
writing,5,2,4,5,3,3,12,5,5,10,7,walking,S3
fitts,1,6,7,6,7,2,4,3,3,5,1,walking,S4
reading,1,7,7,7,6,10,1,13,1,6,1,walking,S4
writing,1,6,5,5,6,4,2,3,5,6,1,walking,S4
reading,2,5,7,7,6,4,4,4,7,6,4,walking,S4
fitts,3,4,5,6,6,4,8,4,9,10,8,walking,S4
writing,4,3,4,3,3,12,13,6,13,13,13,walking,S4
writing,1,7,6,5,6,3,3,3,4,16,2,walking,S4
reading,7,5,6,6,7,20,5,20,3,19,0,walking,S4
fitts,1,6,6,6,6,2,1,0,4,14,0,walking,S4
writing,3,3,5,5,5,2,4,0,9,8,1,walking,S4
reading,2,2,6,6,5,3,4,2,6,3,0,walking,S4
fitts,2,2,6,6,5,2,2,0,6,2,0,walking,S4
writing,5,5,3,3,3,5,12,13,14,13,13,walking,S4
reading,3,3,5,5,5,14,5,12,11,13,10,walking,S4
fitts,3,5,5,5,5,2,4,2,5,6,4,walking,S4
writing,1,5,7,6,6,7,12,13,7,15,3,walking,S4
fitts,2,5,5,5,5,6,7,8,4,14,7,walking,S4
reading,2,3,5,5,6,12,13,14,5,14,7,walking,S4
writing,5,3,3,3,3,15,6,8,16,13,13,walking,S4
fitts,1,6,6,6,4,2,3,13,5,5,4,walking,S4
reading,5,2,3,4,2,13,2,13,18,14,14,walking,S4
reading,1,7,4,6,6,4,6,13,5,5,3,walking,S4
writing,2,6,7,5,7,4,6,13,5,4,3,walking,S4
fitts,2,4,2,2,4,7,3,2,3,14,4,walking,S4
reading,3,5,4,4,5,16,5,16,12,14,13,walking,S4
fitts,2,5,7,6,5,5,17,14,12,12,5,walking,S4
writing,5,2,4,3,5,8,14,15,6,13,13,walking,S4
fitts,3,5,5,5,4,4,14,11,5,4,7,walking,S4
reading,5,3,4,4,3,13,2,13,7,11,12,walking,S4
writing,5,4,4,5,3,7,14,12,6,14,14,walking,S4
writing,1,7,6,6,7,5,5,7,2,4,2,walking,S4
reading,2,6,6,6,6,3,4,8,0,2,1,walking,S4
fitts,1,6,6,6,6,3,3,5,2,3,1,walking,S4
fitts,2,7,7,6,6,0,2,0,2,4,1,walking,S4
writing,4,5,5,5,7,2,2,2,13,5,6,walking,S4
reading,1,6,6,6,7,2,0,6,1,4,6,walking,S4
reading,5,2,3,3,5,17,4,6,14,8,15,walking,S4
fitts,3,6,7,6,6,3,2,3,4,4,5,walking,S4
writing,4,5,5,4,4,10,5,6,6,10,7,walking,S4
reading,2,6,4,7,7,8,3,3,14,6,0,walking,S4
fitts,2,7,7,7,7,2,2,3,3,1,2,walking,S4
writing,2,7,6,7,7,1,5,3,2,2,2,walking,S4
fitts,3,5,5,3,5,4,3,1,8,2,1,walking,S4
reading,2,5,6,6,6,3,4,2,4,14,4,walking,S4
writing,4,5,5,3,3,4,6,3,12,12,14,walking,S4
writing,7,5,4,3,3,5,12,15,17,13,6,walking,S4
reading,7,5,2,2,3,14,15,15,16,14,15,walking,S4
fitts,2,2,5,6,6,2,6,7,5,7,3,walking,S4
fitts,2,4,5,2,2,3,8,11,8,14,2,walking,OPO
reading,2,6,7,7,7,4,1,8,3,3,1,walking,OPO
writing,6,2,5,6,5,4,2,5,1,16,15,walking,OPO
reading,1,6,7,7,7,2,2,10,0,3,0,walking,OPO
fitts,3,5,7,5,7,3,2,0,3,7,0,walking,OPO
writing,2,6,7,6,7,2,1,3,2,2,0,walking,OPO
fitts,5,4,4,4,3,5,15,13,13,13,8,walking,OPO
writing,3,3,3,3,3,4,13,15,12,13,8,walking,OPO
reading,2,5,5,5,5,8,3,8,5,8,4,walking,OPO
fitts,2,5,5,5,4,5,10,5,9,8,8,walking,OPO
writing,4,4,4,4,3,6,10,5,13,12,13,walking,OPO
reading,2,5,5,7,6,4,4,4,4,5,2,walking,OPO
reading,2,6,6,6,6,8,9,9,5,7,8,walking,OPO
fitts,2,6,6,5,6,5,7,7,5,6,6,walking,OPO
writing,2,6,7,6,5,5,5,2,3,4,3,walking,OPO
reading,1,6,4,6,5,13,3,11,16,4,1,walking,OPO
writing,2,6,7,6,6,3,4,5,4,4,1,walking,OPO
fitts,2,6,7,7,6,3,2,2,2,2,1,walking,OPO
writing,3,5,4,3,5,11,6,8,12,11,7,walking,OPO
fitts,2,5,5,5,6,7,12,7,13,14,7,walking,OPO
reading,6,2,3,3,3,16,3,18,16,15,8,walking,OPO
reading,2,3,6,6,6,3,3,3,8,2,1,walking,OPO
writing,3,3,5,5,5,3,3,1,9,1,0,walking,OPO
fitts,3,3,7,6,5,0,2,1,5,2,1,walking,OPO
writing,3,4,6,6,5,12,14,14,3,11,6,walking,OPO
fitts,2,6,6,6,5,3,8,5,2,3,2,walking,OPO
reading,2,6,6,6,6,8,4,6,1,2,2,walking,OPO
reading,1,3,3,3,2,14,3,13,16,12,12,walking,OPO
fitts,5,5,6,3,2,4,13,7,4,11,5,walking,OPO
writing,2,5,6,6,5,5,11,6,6,7,5,walking,OPO
